hidden_size: 200, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.927667
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.961250
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.947000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.961000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.962167
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.964000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.963583
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976583
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955083
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.980750
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.979667
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.980083
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.980750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.974750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.953750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.981250
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.978083
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.982083
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.982167
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.971500
hidden_size: 300, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.954167
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.974667
hidden_size: 300, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.973250
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.973833
hidden_size: 300, learning_rate: 1.000000e-02, reg: 5.000000e-05, validation accuracy: 0.974333
hidden_size: 300, learning_rate: 5.000000e-02, reg: 1.000000e-03, validation accuracy: 0.977583
hidden_size: 300, learning_rate: 5.000000e-02, reg: 5.000000e-03, validation accuracy: 0.956917
hidden_size: 300, learning_rate: 5.000000e-02, reg: 1.000000e-04, validation accuracy: 0.980000
hidden_size: 300, learning_rate: 5.000000e-02, reg: 5.000000e-04, validation accuracy: 0.979833
hidden_size: 300, learning_rate: 5.000000e-02, reg: 1.000000e-05, validation accuracy: 0.979167
hidden_size: 300, learning_rate: 5.000000e-02, reg: 5.000000e-05, validation accuracy: 0.979500
hidden_size: 300, learning_rate: 1.000000e-03, reg: 1.000000e-03, validation accuracy: 0.926917
hidden_size: 300, learning_rate: 1.000000e-03, reg: 5.000000e-03, validation accuracy: 0.921833
hidden_size: 300, learning_rate: 1.000000e-03, reg: 1.000000e-04, validation accuracy: 0.928417
hidden_size: 300, learning_rate: 1.000000e-03, reg: 5.000000e-04, validation accuracy: 0.928250
hidden_size: 300, learning_rate: 1.000000e-03, reg: 1.000000e-05, validation accuracy: 0.927167
hidden_size: 300, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.928833
hidden_size: 300, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.961833
hidden_size: 300, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.948583
hidden_size: 300, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.963417
hidden_size: 300, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.961833
hidden_size: 300, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.965000
hidden_size: 300, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.965833
hidden_size: 400, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976250
hidden_size: 400, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955667
hidden_size: 400, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.981000
hidden_size: 400, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.979083
hidden_size: 400, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.981250
hidden_size: 400, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.980417
hidden_size: 400, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.971500
hidden_size: 400, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.943583
hidden_size: 400, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.982000
hidden_size: 400, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.978833
hidden_size: 400, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.982250
hidden_size: 400, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.982000
